address,contract_name,name_tag,srcnet
0x3ee18B2214AFF97000D974cf647E7C347E8fa585,TokenBridge,Wormhole: Portal Token Bridge,ETH
0xB6F6D86a8f9879A9c87f643768d9efc38c1Da6E7,TokenBridge,Wormhole: Token Bridge,BNB
