name,chainID
Solana,1
Ethereum,2
Terra Classic,3
Binance Smart Chain,4
Polygon,5
Avalanche (C-Chain),6
Oasis (Emerald),7
Algorand,8
Aurora,9
Fantom,10
Karura,11
Acala,12
Klaytn,13
Celo,14
NEAR,15
Moonbeam,16
Terra,18
Injective,19
Aptos,22
Arbitrum,23
Optimism,24
XPLA,28
Gnosis,25
