name,chainID
Ethereum,1
Optimism,10
BSC,56
Polygon,137
Fantom,250
Boba,288
Moonbeam,1284
Moonriver,1285
Arbitrum,42161
Avalanche,43114
Aurora,1313161554
Harmony,1666600000
