Action,func_name,arguments,exampleTxhash
Deposit,approve,"address spender, uint256 amount",ETH: 0x255b34793636dbaf9b952fdc3675ada3231ea834ac63406135db7b0e3d5906f9
Withdraw,transfer,"address recipient, uint256 amount",ETH: 0x97cb38e6a1cf15e3122b80ff40d9efc9650b0b94e0b477161f10b82dcccb1c80
