Action,func_name,arguments,exampleTxhash
Deposit,anySwapOutNative,"address token, address to, uint256 toChainID",ETH: 0x57fd5771d0a9f62388697e600c670f696eaf5e3d73a60231a129d04b1a63dc6e
Withdraw,anySwapInAuto,"bytes32 txs, address token, address to, uint256 amount, uint256 fromChainID",BNB: 0xe3ced83632f2065adec6659c067929558d21fe969d91c08865b285971373cad4
Deposit,anySwapOutUnderlying,"address token, address to, uint256 amount, uint256 toChainID",BNB: 0xe3b40c801ea80eb6fbbf9710110eb9d9dc4b67a6f510d9436a97ba93899a625d
Deposit,Swapout,"uint256 amount, address bindaddr",BNB: 0x909a7eb74885978c07f642241c6b29da70bddb708b216e4f0017e2f8c0a46805
Deposit,anySwapOut,"address token, address to, uint256 amount, uint256 toChainID",BNB: 0xd22607824ac4dbb301340505d65eb0b27a81fdcf9d8282b834e27824215bd29c
Withdraw,transfer,"address _to, uint256 _value",ETH: 0xeff553c86c7092d395fe03b5c95b6ab59146154fd8feba14d797cd24fe3cd9c8
