Action,func_name,arguments,exampleTxhash
Deposit,swapAndRedeemAndSwap,"address to, uint256 chainId, address token, uint8 tokenIndexFrom, uint8 tokenIndexTo, uint256 dx, uint256 minDy, uint256 deadline, uint8 swapTokenIndexFrom, uint8 swapTokenIndexTo, uint256 swapMinDy, uint256 swapDeadline",BNB: 0xc557e079fd4292b5b4285bf39a385b695be3096318eb8660686825ddc74d7cd4
Withdraw,withdrawAndRemove,"address to, address token, uint256 amount, uint256 fee, address pool, uint8 swapTokenIndex, uint256 swapMinAmount, uint256 swapDeadline, bytes32 kappa",ETH: 0x07fadb94396b27449a59b0f51d7338921352ab07d9eeb4bd71caa1988097d9d3
Withdraw,withdraw,"address to, address token, uint256 amount, uint256 fee, bytes32 kappa",ETH: 0x91d780baa4c73ff807d7b79120d36bc4393495638b5364ac67197d8e53b7ae45
Deposit,zapAndDepositAndSwap,"address to, uint256 chainId, address token, uint256[] liquidityAmounts, uint256 minToMint, uint256 liqDeadline, uint8 tokenIndexFrom, uint8 tokenIndexTo, uint256 minDy, uint256 swapDeadline",ETH: 0x180553c1c377b8dfecac4dd9194cb50f60a182c283db3ea5bcd9a50868ca7bef
Deposit,depositETHAndSwap,"address to, uint256 chainId, uint256 amount, uint8 tokenIndexFrom, uint8 tokenIndexTo, uint256 minDy, uint256 deadline",ETH: 0x4e73c0125bec703135863f6333aa7bf3c257ec016d9676d70dc00e539aad7497
Deposit,deposit,"address to, uint256 chainId, address token, uint256 amount",ETH: 0x4bb31d7885b19002e9c7995086020d66a38741379fb7c421512a9508d2a59dca
Withdraw,mintAndSwap,"address to, address token, uint256 amount, uint256 fee, address pool, uint8 tokenIndexFrom, uint8 tokenIndexTo, uint256 minDy, uint256 deadline, bytes32 kappa",BNB: 0x6cc17798a9e9a5f03eabcb15ea4b9e989582978c176733f54324ce7d1c7d86cb
