Action,func_name,arguments,exampleTxhash
Deposit,lock,"address fromAsset, uint64 toChainId, bytes toAddress, uint256 amount, uint256 fee, uint256 id",ETH: 0xa7ef44e44db882378e1339392f200850dfbf0d817ca271ebf96400df9ef2209e
Withdraw,verifyHeaderAndExecuteTx,"bytes proof, bytes rawHeader, bytes headerProof, bytes curRawHeader, bytes headerSig",BNB: 0xd5f55b463045474d0feb0a7afaef8c7af8c9ffb2e1509b6d7f8ef14ea6fb1f19
