Action,event_name,arguments,exampleTxhash
Withdraw,TokenWithdrawAndRemove,"index_topic_1 address to, address token, uint256 amount, uint256 fee, uint8 swapTokenIndex, uint256 swapMinAmount, uint256 swapDeadline, bool swapSuccess, index_topic_2 bytes32 kappa",ETH: 0x07fadb94396b27449a59b0f51d7338921352ab07d9eeb4bd71caa1988097d9d3
Withdraw,TokenWithdraw,"index_topic_1 address to, address token, uint256 amount, uint256 fee, index_topic_2 bytes32 kappa",ETH: 0x91d780baa4c73ff807d7b79120d36bc4393495638b5364ac67197d8e53b7ae45
Deposit,TokenDepositAndSwap,"index_topic_1 address to, uint256 chainId, address token, uint256 amount, uint8 tokenIndexFrom, uint8 tokenIndexTo, uint256 minDy, uint256 deadline",ETH: 0x180553c1c377b8dfecac4dd9194cb50f60a182c283db3ea5bcd9a50868ca7bef
Deposit,TokenDeposit,"index_topic_1 address to, uint256 chainId, address token, uint256 amount",ETH: 0x4bb31d7885b19002e9c7995086020d66a38741379fb7c421512a9508d2a59dca
